oid,category
400318329,winter_sport
757382404,autosport
367128632,hockey
82359035,extreme
169650018,extreme
780661336,motosport
742321024,hockey
203609815,tennis
315514611,athletics
484770022,winter_sport
272409826,winter_sport
189202917,winter_sport
954309335,autosport
269135832,extreme
363011237,extreme
143686331,athletics
646468605,extreme
424194001,athletics
758557134,athletics
207891029,boardgames
96550538,martial_arts
380846012,athletics
32860111,hockey
694176212,extreme
776303527,autosport
825619734,extreme
789704301,motosport
45918031,athletics
435847516,volleyball
703540237,athletics
285269308,basketball
800426014,extreme
570225132,boardgames
104061007,boardgames
379707522,motosport
961037402,extreme
145846507,motosport
675338101,football
611637936,hockey
178373718,extreme
58022005,boardgames
493291122,autosport
955803014,winter_sport
280458608,athletics
203609815,tennis
309347409,tennis
763019216,autosport
9455401,hockey
68737418,volleyball
675267313,winter_sport
737880515,basketball
420029112,winter_sport
353081737,tennis
893681523,athletics
391106101,extreme
645562129,athletics
798959002,tennis
517149005,basketball
720194726,motosport
938731820,hockey
656339234,hockey
325097003,basketball
730917226,hockey
479886838,extreme
727066931,motosport
69700733,extreme
382790721,volleyball
535711737,volleyball
429114239,extreme
939038022,motosport
614327734,motosport
765370701,motosport
930647729,hockey
905511805,volleyball
75344628,volleyball
247095126,extreme
559217017,hockey
621582000,winter_sport
919523134,tennis
735630433,extreme
606729828,volleyball
691699936,martial_arts
853736228,volleyball
972972609,autosport
642194214,martial_arts
24580105,football
191288802,extreme
810672125,motosport
796343309,tennis
188871818,boardgames
969939508,tennis
776249712,boardgames
577505103,boardgames
433461909,autosport
840167802,extreme
687005007,football
630596921,athletics
468180423,football
869290538,boardgames
24664535,extreme
114099424,basketball
732725131,winter_sport
444234900,tennis
88427238,extreme
597320201,athletics
98678120,football
227887835,autosport
976183800,extreme
814378832,motosport
404734609,winter_sport
636606912,martial_arts
952424029,martial_arts
961573518,hockey
257082031,boardgames
189606914,extreme
920626600,volleyball
583140311,hockey
91221831,martial_arts
871203616,martial_arts
137678818,motosport
895783211,basketball
390326813,basketball
456256906,basketball
744621104,hockey
854520310,extreme
335696332,extreme
773639931,volleyball
963933706,basketball
283938412,martial_arts
698725904,winter_sport
656656408,boardgames
920584035,tennis
523488132,tennis
995500139,boardgames
732719339,martial_arts
110161928,autosport
87645031,boardgames
892988615,autosport
527755416,basketball
254005736,martial_arts
365447126,motosport
608202837,volleyball
175569918,hockey
675221606,martial_arts
327373427,basketball
590168531,hockey
673717013,football
15687720,boardgames
131876911,athletics
248974925,martial_arts
208349037,martial_arts
406687238,martial_arts
882640123,volleyball
714234514,boardgames
432727237,martial_arts
409398311,hockey
842595938,basketball
139939618,athletics
458745710,extreme
447660100,volleyball
61541309,football
839030107,football
731046922,athletics
916341617,basketball
826403605,basketball
535511828,motosport
767166235,autosport
455599238,extreme
653555418,extreme
998565619,football
9419231,basketball
909146130,extreme
147606020,motosport
696853732,extreme
36443103,football
247095126,boardgames
314730615,tennis
706187615,motosport
7101715,football
900506605,extreme
440346237,motosport
869551220,basketball
158877415,autosport
171566920,athletics
777388529,tennis
656339234,hockey
595894929,basketball
300018033,boardgames
81295517,football
252055117,motosport
758557134,boardgames
158959036,winter_sport
965739105,autosport
685187327,autosport
968492435,basketball
359331738,hockey
325137301,athletics
951099915,football
241306824,athletics
189202917,winter_sport
877868208,basketball
339910315,volleyball
710737629,winter_sport
190675501,winter_sport
723062002,athletics
184257327,motosport
963669106,extreme
729168834,volleyball
24664535,martial_arts
75044739,extreme
977791728,martial_arts
480878817,winter_sport
77255925,extreme
588492128,boardgames
503286621,volleyball
463497816,autosport
216451201,boardgames
490004308,tennis
126999231,martial_arts
311641030,tennis
205108616,martial_arts
627299307,hockey
586438336,volleyball
810648433,volleyball
963933706,basketball
544238018,boardgames
412582902,autosport
217336832,martial_arts
245636707,extreme
235819036,volleyball
172134431,autosport
193979004,tennis
704493238,basketball
365511913,athletics
32860111,tennis
302337826,motosport
697754006,football
650371125,extreme
506779112,basketball
606174933,basketball
206462427,basketball
452466036,martial_arts
560285439,hockey
805173438,athletics
881719908,football
175684103,martial_arts
732845834,football
357831525,motosport
433461909,motosport
580460700,athletics
58905212,basketball
474672934,motosport
541204520,extreme
814144025,extreme
682868217,autosport
346973015,volleyball
110567026,athletics
673423735,motosport
136458830,winter_sport
543463128,football
675949807,basketball
731161905,extreme
553924806,motosport
214726412,athletics
720806404,hockey
451609521,athletics
573599818,extreme
858270913,basketball
69666901,basketball
175917715,tennis
323016022,tennis
501365320,extreme
177059338,boardgames
66589206,basketball
283290130,football
876801624,basketball
302563336,motosport
808720707,martial_arts
977791728,martial_arts
541204520,extreme
318513918,extreme
976274208,hockey
780437412,boardgames
146978633,volleyball
932162114,basketball
189713508,motosport
136458830,winter_sport
950318127,winter_sport
368142822,autosport
397238625,extreme
249355536,martial_arts
162043401,basketball
58524106,basketball
46557902,football
553288426,martial_arts
524426623,tennis
695005818,winter_sport
656339234,football
202488729,hockey
393407803,boardgames
631388434,martial_arts
618050834,volleyball
194289811,basketball
718265512,basketball
612063015,martial_arts
771189202,extreme
842094317,martial_arts
939633505,athletics
483184820,tennis
306441436,autosport
277343111,tennis
118582030,autosport
893681523,athletics
74652019,football
860103302,tennis
337669626,extreme
962409113,athletics
191288802,extreme
152645515,boardgames
638690823,autosport
461478321,motosport
892724112,winter_sport
940643711,volleyball
216195912,winter_sport
797106735,boardgames
888914411,boardgames
753726005,extreme
628940512,football
895774202,extreme
322842224,athletics
628345539,martial_arts
686698307,basketball
246280803,tennis
874257909,motosport
58022005,boardgames
893681523,athletics
281743839,extreme
802894535,tennis
538156330,athletics
193979004,tennis
340097918,tennis
484354931,volleyball
207420208,athletics
720700227,volleyball
584644404,football
676903235,boardgames
53073826,volleyball
244390012,motosport
533687714,motosport
535511828,basketball
811403701,athletics
720980602,athletics
157226523,winter_sport
200830226,extreme
372619507,martial_arts
430070319,athletics
875504204,autosport
185046019,volleyball
410728131,autosport
58056119,autosport
416384822,volleyball
216451201,martial_arts
742321024,hockey
821416534,athletics
587551436,motosport
502274308,volleyball
206534518,tennis
70553008,martial_arts
625733917,extreme
101931638,athletics
338973828,autosport
175877702,winter_sport
32734003,autosport
197069007,autosport
119067016,basketball
447899916,volleyball
542017229,tennis
161038103,tennis
555013438,autosport
271744519,martial_arts
923012209,volleyball
222516037,martial_arts
389639538,winter_sport
28225423,martial_arts
6841824,winter_sport
253041238,autosport
190675501,winter_sport
582543434,autosport
898891936,autosport
181151513,martial_arts
636813919,hockey
402635101,football
154884131,volleyball
757687928,tennis
663005300,tennis
234810038,extreme
577746628,hockey
694334802,football
555020016,extreme
337485625,tennis
634077333,hockey
916341617,autosport
114597920,athletics
673717013,tennis
320128527,boardgames
144893418,boardgames
347076136,hockey
75044739,extreme
943736224,extreme
134805635,extreme
636606912,extreme
105159200,martial_arts
500649222,basketball
487808124,hockey
940142725,athletics
515979625,basketball
542970915,tennis
653139422,volleyball
759335729,extreme
992331419,martial_arts
169782234,autosport
976726439,martial_arts
528610528,football
99316638,volleyball
397688731,martial_arts
563700604,athletics
663177038,extreme
481791707,motosport
978152436,basketball
793498528,martial_arts
175114936,basketball
486848704,tennis
683004715,hockey
300698829,autosport
626724033,autosport
505512209,tennis
597756035,football
258314123,basketball
995614432,winter_sport
699404808,winter_sport
491581824,extreme
198566525,boardgames
453622433,basketball
939038022,motosport
209418931,boardgames
891334035,motosport
281906302,basketball
77287639,football
291959212,tennis
474818525,boardgames
32734003,autosport
97470738,martial_arts
358634928,motosport
724915531,boardgames
374161020,volleyball
806134921,martial_arts
254914715,volleyball
346305901,winter_sport
837411601,volleyball
165033105,boardgames
199260030,boardgames
652028722,volleyball
206039507,boardgames
470533206,martial_arts
113480613,boardgames
865319020,extreme
780087912,motosport
500485134,athletics
466833200,volleyball
754370035,basketball
618050834,extreme
661402108,autosport
801282329,volleyball
942291028,autosport
77263526,tennis
780377018,boardgames
881966013,extreme
844717635,extreme
536631212,hockey
852431225,extreme
234810038,martial_arts
249356330,autosport
611696517,hockey
330126734,hockey
411875725,volleyball
663177038,autosport
137256429,autosport
898257011,hockey
615111916,football
336705925,boardgames
240148831,basketball
341006523,tennis
477358811,basketball
205108616,martial_arts
38686015,autosport
963404719,autosport
780661336,martial_arts
692941415,tennis
454649416,tennis
542017229,martial_arts
183300802,football
328610001,athletics
543395536,motosport
675221606,martial_arts
395618404,martial_arts
258919913,basketball
257343433,extreme
610069617,motosport
584891828,winter_sport
110161928,autosport
16855822,winter_sport
949858220,motosport
804591616,autosport
219391807,volleyball
512892704,winter_sport
281906302,basketball
784721116,motosport
951953731,motosport
777792529,volleyball
31521229,hockey
815797438,hockey
909250315,martial_arts
502677819,winter_sport
947138900,boardgames
223866238,motosport
762195413,athletics
672115723,winter_sport
75263528,volleyball
572040810,extreme
258314123,football
119067016,football
358997321,motosport
588492128,boardgames
19765518,football
944232732,hockey
896615205,extreme
27707002,hockey
502752932,winter_sport
993241304,martial_arts
881761926,hockey
194486402,winter_sport
296077903,boardgames
32712332,autosport
246331928,tennis
34632917,volleyball
87954633,tennis
311125219,extreme
542017229,athletics
636813919,autosport
474341536,volleyball
876929904,volleyball
789662714,basketball
846438937,autosport
431515801,hockey
557484721,tennis
377199730,motosport
876642405,hockey
394896621,volleyball
354506919,hockey
174798230,tennis
242791832,autosport
163251509,winter_sport
121492010,hockey
177837324,football
577187937,martial_arts
450783314,winter_sport
810245338,tennis
346300139,hockey
758155538,football
718265512,hockey
168872231,martial_arts
521758907,football
162356801,autosport
722998702,extreme
753777205,boardgames
369317324,football
842094317,martial_arts
850982633,boardgames
279774419,volleyball
703540237,athletics
506647809,winter_sport
369349736,basketball
162043401,basketball
424581231,martial_arts
693946932,winter_sport
901319525,winter_sport
21713406,martial_arts
380924325,extreme
773639931,winter_sport
471648831,hockey
758557134,tennis
188076806,boardgames
303714903,motosport
963404719,autosport
628940512,basketball
269135832,winter_sport
432119824,extreme
249355536,martial_arts
993251023,winter_sport
291959212,tennis
303858215,motosport
178335916,hockey
858270913,basketball
209979431,volleyball
479886838,extreme
950046422,basketball
808026519,athletics
344085216,boardgames
937276635,hockey
125860219,football
271336732,tennis
489685222,hockey
126462019,motosport
183300802,basketball
837314116,volleyball
827474411,motosport
746261621,boardgames
619492408,football
121966812,football
184029530,motosport
300376018,boardgames
756811015,basketball
542922016,extreme
718004107,winter_sport
338973828,boardgames
716233230,hockey
118342520,football
673848710,boardgames
439607625,volleyball
78410435,martial_arts
980421624,tennis
254489118,tennis
682407200,extreme
834897309,volleyball
988414209,motosport
753777205,boardgames
401817323,autosport
999374432,hockey
32734003,autosport
277075235,extreme
248809911,basketball
634720110,extreme
359331738,hockey
156539705,motosport
794004500,basketball
987306634,winter_sport
23220639,tennis
552724006,tennis
613449708,basketball
522310908,hockey
472102715,boardgames
772243338,basketball
718731007,volleyball
347660221,hockey
617089805,extreme
539465706,tennis
946552139,motosport
869684202,winter_sport
24530913,boardgames
30987817,boardgames
571944417,boardgames
1622114,athletics
672291907,tennis
294355703,extreme
294355703,winter_sport
950610502,athletics
323542800,football
148389602,basketball
722326419,volleyball
608008318,hockey
330126734,hockey
866166836,extreme
58828435,basketball
293257727,extreme
69883037,boardgames
890975533,basketball
335696332,extreme
885777902,motosport
684766028,winter_sport
345928610,winter_sport
541204520,basketball
910049717,athletics
369462436,winter_sport
252017522,extreme
389199804,hockey
538156330,athletics
819414509,winter_sport
982459907,motosport
656218303,martial_arts
283290130,volleyball
839901317,martial_arts
669566726,basketball
152328435,volleyball
8754004,boardgames
750123821,football
568705033,hockey
369317324,winter_sport
424194001,athletics
36443103,football
327734729,boardgames
881714831,boardgames
639255416,volleyball
905699705,hockey
165536929,basketball
62179307,autosport
996508807,autosport
691885025,extreme
303714903,motosport
761152130,football
746261621,athletics
495993616,autosport
305659608,extreme
646468605,boardgames
58828435,basketball
734773828,tennis
427405525,hockey
282161237,football
363280212,tennis
342217239,basketball
379707522,motosport
144253338,basketball
85587732,extreme
46396337,boardgames
676067213,tennis
188914633,hockey
831798502,boardgames
199260030,boardgames
549731702,motosport
699404808,martial_arts
949907629,boardgames
738065626,autosport
169650018,extreme
625733917,volleyball
28987600,autosport
427947126,winter_sport
31026914,winter_sport
738309006,football
687457825,autosport
439624909,hockey
8754004,boardgames
181114224,winter_sport
772796121,basketball
617202308,motosport
898943337,hockey
39760922,martial_arts
601670421,martial_arts
918780108,martial_arts
24580105,football
171566920,boardgames
383370828,extreme
165303039,winter_sport
128681434,boardgames
696619008,athletics
541587109,extreme
427947126,winter_sport
502126414,autosport
883911111,tennis
536016915,extreme
336192226,motosport
757840314,volleyball
636606912,boardgames
734773828,volleyball
194289811,football
126462019,motosport
934770635,volleyball
111216229,football
882038106,extreme
180773232,tennis
171386911,martial_arts
315514611,tennis
493329800,winter_sport
950046422,basketball
947275916,tennis
893681523,athletics
924380421,extreme
306975214,hockey
514263414,volleyball
286637611,football
143952121,boardgames
363011237,football
607642001,winter_sport
603928716,basketball
882493006,hockey
392033223,extreme
826403605,volleyball
52704700,autosport
357676832,boardgames
803373031,football
500328511,autosport
762195413,athletics
402635101,football
835396802,football
871940439,tennis
133265812,extreme
648536421,football
137678818,motosport
584891828,motosport
536016915,extreme
510637726,athletics
449704704,volleyball
32860111,martial_arts
110973925,athletics
901627909,football
560223506,athletics
711716415,tennis
44066515,hockey
381517915,tennis
26690326,extreme
74450008,martial_arts
380873701,extreme
754440301,football
358793829,martial_arts
286516630,autosport
592032236,extreme
938672803,athletics
74472119,motosport
367146634,autosport
968694134,basketball
194604309,basketball
754799230,boardgames
470130924,autosport
963893835,basketball
33335702,hockey
515979625,autosport
62850008,volleyball
704972525,motosport
354880700,tennis
387687703,tennis
111296917,boardgames
459391931,basketball
391708030,athletics
643723301,basketball
591630036,winter_sport
526305739,autosport
832060730,winter_sport
443233908,athletics
503286621,volleyball
697977732,volleyball
881719908,hockey
282476217,basketball
374976917,martial_arts
868741111,motosport
106783719,winter_sport
818786025,basketball
190676335,martial_arts
691196826,hockey
595692823,football
662453213,hockey
401592234,hockey
228182217,autosport
129966125,extreme
60784503,basketball
675338101,football
959949902,motosport
961447120,football
36370916,extreme
381175229,volleyball
976726439,winter_sport
64505925,hockey
194486402,winter_sport
884639615,autosport
942291028,autosport
361446201,extreme
722293514,motosport
757129532,football
365639217,basketball
548889408,boardgames
698146809,basketball
543463128,football
409341814,football
788946507,tennis
125615617,volleyball
988414209,motosport
621181023,extreme
52719309,basketball
310100109,extreme
360665210,football
929177628,winter_sport
627942312,basketball
110299018,martial_arts
382246238,autosport
69700733,extreme
392801401,tennis
338061502,football
541587109,volleyball
314850421,volleyball
995078418,basketball
675267313,extreme
484770022,athletics
342217239,boardgames
580543820,athletics
563700604,extreme
708435804,football
201643838,hockey
441857133,athletics
628345539,winter_sport
748171722,volleyball
92405418,autosport
759680207,tennis
363870539,extreme
559886937,basketball
681724533,extreme
706187615,extreme
890990913,motosport
197069007,athletics
3905302,martial_arts
294739001,autosport
248974925,martial_arts
61071611,extreme
442404133,football
338061502,football
120774419,basketball
834897309,volleyball
930647729,volleyball
238482914,football
621089234,extreme
861225637,hockey
573728221,volleyball
985825903,winter_sport
699833027,motosport
595894929,basketball
754130730,boardgames
446372811,motosport
520171005,football
189202917,winter_sport
309752232,volleyball
342217239,basketball
350292811,boardgames
853318705,basketball
365639217,basketball
705531229,basketball
478649132,autosport
862074312,tennis
842595938,basketball
877807601,hockey
982942625,athletics
723736924,athletics
311125219,boardgames
841922601,motosport
372120119,basketball
997446726,boardgames
691196826,football
484770022,tennis
733364110,autosport
388651911,hockey
927384902,martial_arts
630923338,boardgames
366534304,extreme
742720004,boardgames
567751832,motosport
205108616,martial_arts
8071108,extreme
61071611,boardgames
433288420,extreme
780661336,motosport
717515711,volleyball
434086932,football
542840716,motosport
798767415,athletics
346305901,tennis
489685222,hockey
574447328,basketball
662150224,football
445858313,basketball
280458608,athletics
895783211,martial_arts
461478321,motosport
983658124,athletics
723177305,volleyball
933474909,autosport
38798826,winter_sport
946552139,motosport
8591509,basketball
438797216,tennis
673423735,motosport
1622114,martial_arts
59932732,hockey
227716111,basketball
493329800,basketball
310271910,volleyball
12747705,winter_sport
890219039,basketball
557277126,athletics
371253809,volleyball
581191034,athletics
463889624,boardgames
332429417,motosport
636783625,football
436996505,athletics
247095126,boardgames
84609918,martial_arts
120129717,boardgames
162043401,basketball
613449708,basketball
705736306,tennis
941480814,boardgames
443233908,athletics
686389628,extreme
621181023,tennis
451119206,martial_arts
195814323,football
954498427,tennis
77255925,athletics
801282329,volleyball
697207714,hockey
438797216,tennis
638690823,autosport
115396210,athletics
115166329,boardgames
670133125,motosport
22036439,martial_arts
66862529,tennis
178373718,volleyball
281392706,boardgames
153599208,basketball
470564924,hockey
831253324,motosport
613949310,boardgames
13562224,extreme
810245338,basketball
87851008,hockey
378373822,martial_arts
821877603,extreme
552093907,volleyball
961334227,martial_arts
391708030,athletics
173808905,basketball
4581701,volleyball
694176212,winter_sport
918645004,martial_arts
758557134,athletics
444009223,athletics
563416735,extreme
814378832,autosport
878785139,winter_sport
316651621,winter_sport
817588631,boardgames
178038606,boardgames
881719908,football
307022516,boardgames
975627500,basketball
941655901,winter_sport
27943630,extreme
793483105,winter_sport
971344832,football
347660221,football
808720707,martial_arts
607642001,hockey
32860111,athletics
636606912,martial_arts
973446521,extreme
960682626,motosport
32712332,autosport
373701210,hockey
750586033,football
624254822,hockey
167479026,volleyball
716730813,athletics
195663706,boardgames
695058203,athletics
47878039,tennis
791826507,motosport
755173525,basketball
607849319,extreme
350509934,boardgames
867549202,boardgames
468287808,boardgames
842306321,winter_sport
794004500,basketball
692248707,boardgames
207891029,motosport
424965336,football
358893334,autosport
252958212,winter_sport
293137810,motosport
243150312,winter_sport
610608320,martial_arts
292717533,autosport
150654128,boardgames
441983510,athletics
996141322,extreme
5492000,boardgames
192169939,volleyball
172168003,winter_sport
653555418,autosport
709646319,tennis
523427029,motosport
750529123,hockey
890548501,autosport
908844019,boardgames
497868207,volleyball
393386031,martial_arts
714494404,martial_arts
679839112,winter_sport
882288416,volleyball
446372811,motosport
327373427,basketball
230468518,winter_sport
551269718,motosport
571009235,winter_sport
169233026,hockey
312888017,martial_arts
8591509,basketball
558167517,football
686698307,boardgames
737153530,autosport
661807414,boardgames
487808124,hockey
411813121,motosport
349384717,basketball
120774419,basketball
909250315,boardgames
931808713,athletics
189202917,winter_sport
71725427,basketball
901212909,extreme
133265812,extreme
498073839,football
577870231,basketball
434086932,basketball
92620918,winter_sport
869684202,extreme
564459708,tennis
661402108,autosport
433430409,boardgames
590978210,hockey
435422100,extreme
881719908,football
381979729,winter_sport
924380421,athletics
324896016,autosport
649867805,volleyball
682654027,winter_sport
897247311,athletics
976183800,boardgames
481791707,motosport
998565619,basketball
320128527,football
347660221,football
570742820,boardgames
223858625,athletics
762195413,athletics
498073839,football
411869717,martial_arts
249455008,boardgames
380924325,extreme
943343431,tennis
330691025,extreme
115396210,volleyball
324255428,motosport
40882726,winter_sport
178373718,volleyball
410728131,motosport
449702027,basketball
370655126,tennis
875981233,winter_sport
138603234,extreme
647706002,motosport
675267313,winter_sport
375680603,hockey
473008422,autosport
454649416,tennis
902512702,winter_sport
720423606,hockey
358226131,athletics
725601317,motosport
568346001,volleyball
582387318,volleyball
687457825,autosport
968492435,basketball
429186739,martial_arts
9419231,football
773806324,winter_sport
650213926,extreme
720194726,autosport
808599916,hockey
949032612,boardgames
16717100,athletics
294355703,athletics
394212724,football
901046514,tennis
786309406,basketball
731705227,extreme
210153012,boardgames
824729512,athletics
733716720,martial_arts
405617038,winter_sport
216695313,basketball
254005736,martial_arts
916678726,extreme
769116238,extreme
28987600,autosport
188076806,boardgames
354880700,tennis
610419433,football
388468131,boardgames
978152436,extreme
570876811,motosport
807285226,extreme
252055117,motosport
630923338,boardgames
80519630,athletics
279774419,volleyball
134189922,winter_sport
152217002,basketball
143397604,athletics
922406933,football
500328511,autosport
197131118,football
23592715,winter_sport
993159701,basketball
747366802,hockey
488107817,winter_sport
152645515,boardgames
403183304,football
120384031,basketball
640825236,motosport
885530530,hockey
469446016,football
89039324,martial_arts
913398708,winter_sport
612800229,extreme
749854625,basketball
192169939,hockey
46557902,boardgames
882038106,extreme
127029536,autosport
608221321,hockey
909250315,extreme
213444212,autosport
921213411,football
50649411,boardgames
291959212,tennis
602470622,athletics
502752932,winter_sport
523843812,motosport
614822521,hockey
401762737,autosport
69666901,martial_arts
94891029,winter_sport
602470622,tennis
588492128,boardgames
130540023,tennis
527137328,football
856701516,extreme
739394931,motosport
358997321,motosport
243857625,volleyball
604360123,athletics
655435538,autosport
60377539,tennis
986936309,winter_sport
415671629,extreme
992331419,autosport
479143822,motosport
883757433,tennis
815797438,tennis
964573111,hockey
375680603,hockey
621089234,extreme
999374432,martial_arts
724468930,autosport
1663817,autosport
367642407,martial_arts
864087326,winter_sport
679839112,winter_sport
514740421,autosport
152027915,tennis
409341814,football
369774809,basketball
853318705,volleyball
465964406,winter_sport
369621326,hockey
384129821,athletics
159768514,basketball
961334227,boardgames
120860807,athletics
261262031,motosport
979631209,autosport
627299307,extreme
175060434,autosport
920584035,boardgames
230468518,tennis
888762027,tennis
445982121,athletics
728868232,volleyball
511077225,extreme
929177628,winter_sport
999361308,tennis
779040219,winter_sport
692130106,basketball
704972525,autosport
776648409,extreme
695058203,athletics
300698829,boardgames
338061502,football
424793706,winter_sport
636783625,tennis
909050028,extreme
300976628,extreme
669684718,motosport
58570613,winter_sport
869684202,motosport
357831525,winter_sport
580528518,volleyball
698962202,boardgames
513724303,volleyball
608530528,boardgames
779040219,winter_sport
500385906,extreme
700486922,boardgames
46365838,boardgames
222424935,winter_sport
104061007,football
219391807,extreme
101931638,boardgames
618948831,autosport
321397920,extreme
461578519,hockey
93297629,football
850748314,autosport
841198827,athletics
249356330,autosport
3905302,extreme
467539521,volleyball
442857922,basketball
808720707,martial_arts
919422928,basketball
809470704,basketball
327143311,winter_sport
555020016,tennis
193630610,martial_arts
733036217,extreme
183300802,football
698725904,hockey
439735436,volleyball
633722524,basketball
431515801,football
165244818,tennis
270174326,football
557277126,athletics
544508231,boardgames
175877702,winter_sport
57043301,athletics
433229230,hockey
610419433,boardgames
518838020,hockey
91586935,athletics
287237406,winter_sport
578692128,basketball
607642001,winter_sport
688031531,martial_arts
663621910,extreme
791826507,motosport
462553428,football
590851410,football
947138900,boardgames
618524109,autosport
933536635,motosport
932162114,basketball
610419433,extreme
793527036,martial_arts
372619507,martial_arts
471648831,volleyball
729244921,basketball
129257723,winter_sport
552093907,volleyball
87954633,winter_sport
810672125,autosport
831430707,football
804087221,extreme
601670421,martial_arts
346973015,volleyball
356229300,volleyball
310159821,extreme
781534022,autosport
776359438,tennis
713499939,martial_arts
332656608,athletics
812009012,tennis
189715923,autosport
11907137,tennis
723736924,athletics
779040219,winter_sport
285028136,boardgames
916355700,martial_arts
215038522,volleyball
901627909,hockey
150717204,volleyball
23592715,extreme
792960709,boardgames
964864035,football
294997620,tennis
960208908,winter_sport
195663706,extreme
297310427,winter_sport
26141003,motosport
750283334,winter_sport
910049717,athletics
525872608,football
760564339,athletics
689420739,motosport
206462427,martial_arts
700486922,boardgames
343811314,winter_sport
729848700,athletics
920584035,martial_arts
943736224,basketball
573844036,basketball
820117632,hockey
734592127,athletics
714494404,tennis
126462019,winter_sport
104061007,winter_sport
29843836,martial_arts
46365838,tennis
515359008,extreme
868970032,boardgames
788252431,football
686389628,extreme
909638205,boardgames
19561637,autosport
324968820,football
723062002,athletics
321638212,extreme
277505118,football
986135626,basketball
193630610,martial_arts
517683527,motosport
210734516,extreme
996141322,extreme
930647729,volleyball
704493238,hockey
808026519,winter_sport
753777205,boardgames
867517906,winter_sport
227173108,boardgames
942291028,volleyball
888101600,martial_arts
631192517,hockey
655829522,autosport
500485134,athletics
881759832,athletics
490784125,motosport
571944417,boardgames
750019213,volleyball
584124420,hockey
272974518,autosport
545066315,autosport
897875212,boardgames
869684202,martial_arts
617202308,autosport
